property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_usd_per_m2
PH,Capital Federal,Mataderos,-34.6658398,-58.5040911,160.0,1093.75
house,Buenos Aires Interior,Pergamino,-33.894951299999995,-60.54214150000001,700.0,135.71428571428572
apartment,Capital Federal,Boedo,-34.6262566,-58.4215157,112.0,1473.2142857142858
apartment,Capital Federal,Almagro,-34.6010046,-58.4299483,75.0,1600.0
apartment,Capital Federal,Nuñez,-34.5519933,-58.4636041,51.0,2725.4901960784314
house,Capital Federal,Nuñez,-34.577168,-58.538654,80.0,2987.5
apartment,Capital Federal,Monserrat,-34.6006822,-58.40447750000001,68.0,1764.7058823529412
apartment,Santa Fe,Rosario,-32.9529942,-60.6446605,100.0,1860.0
house,Bs.As. G.B.A. Zona Norte,Don Torcuato,-34.4816808,-58.6222558,572.0,323.42657342657344
apartment,Capital Federal,Villa Lugano,-34.6775290688,-58.4885288779,40.0,1125.0
house,Río Negro,Viedma,-40.8094805,-62.99881360000001,402.0,472.636815920398
house,Río Negro,Viedma,-40.8136115,-62.985694,301.0,764.1196013289036
apartment,Bs.As. G.B.A. Zona Norte,San Andres,-34.5654713291,-58.5465933387,84.0,1666.666666666667
apartment,Capital Federal,Belgrano,-34.573945200000004,-58.4377082,65.0,2030.7692307692307
apartment,Capital Federal,Villa Urquiza,-34.575686,-58.48880129999999,37.0,2702.7027027027025
house,Bs.As. G.B.A. Zona Sur,Glew,-34.8862511882,-58.38474207189999,240.0,391.66666666666674
house,Buenos Aires Costa Atlántica,Mar de Ajó,-36.744840563800004,-56.6752678233,98.0,1122.4489795918366
apartment,Capital Federal,Palermo,-34.5902121,-58.423941000000006,40.0,2125.0
apartment,Capital Federal,Barracas,-34.6317039,-58.3704351,48.0,1812.5
house,Bs.As. G.B.A. Zona Sur,Presidente Perón,-34.9319739,-58.39606850000001,255.0,1411.764705882353
house,Bs.As. G.B.A. Zona Sur,Glew,-34.888618900000004,-58.3808243,205.0,317.0731707317073
house,Bs.As. G.B.A. Zona Sur,Glew,-34.890678405799996,-58.359107260900004,390.0,897.4358974358977
apartment,Córdoba,Córdoba,-31.41404960000001,-64.1907098,140.0,1321.4285714285713
apartment,Capital Federal,Caballito,-34.6080048,-58.4440135,59.0,2237.2881355932204
apartment,Capital Federal,Congreso,-34.606835600000004,-58.3929779,42.0,2354.761904761905
apartment,Capital Federal,Villa Devoto,-34.597050700000004,-58.515725,65.0,2076.923076923077
apartment,Capital Federal,Villa Devoto,-34.577168,-58.538654,58.0,2241.3793103448274
house,Bs.As. G.B.A. Zona Sur,Glew,-34.8916351,-58.3625723,260.0,1346.1538461538462
store,Capital Federal,Villa Devoto,-34.5903864,-58.5170044,25.0,2600.0
house,Capital Federal,Villa Crespo,-34.6016803,-58.4554843,218.0,1055.045871559633
house,Bs.As. G.B.A. Zona Oeste,Villa Luzuriaga,-34.665287799999994,-58.57251820000001,390.0,358.9743589743589
