property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_aprox_usd
house,Bs.As. G.B.A. Zona Sur,Longchamps,-34.862975,-58.392849,32.44936195067651,90000.0
PH,Capital Federal,Mataderos,-34.661134000000004,-58.48434399999999,110.92351758481198,120000.0
PH,Capital Federal,Parque Chas,-34.586034999999995,-58.474236,24.64967057440266,250000.0
apartment,Buenos Aires Costa Atlántica,Pinamar,-37.110379,-56.862723,30.72953323101822,39000.0
apartment,Buenos Aires Costa Atlántica,Pinamar,-37.134884,-56.870642,131.69799956150666,125000.0
house,Buenos Aires Costa Atlántica,Costa Esmeralda,-37.002758,-56.80687,32.44936195067651,180000.0
apartment,Capital Federal,Barracas,-34.643801,-58.37461,52.67919982460266,139000.0
store,Capital Federal,Paternal,-34.597164,-58.45816800000001,20.0,310000.0
apartment,Capital Federal,Barracas,-34.643854,-58.374267,52.67919982460266,138000.0
apartment,Capital Federal,Villa Devoto,-34.585171,-58.51254,148.16024950669498,279000.0
apartment,Capital Federal,Colegiales,-34.578495000000004,-58.449866,44.99681651684811,105000.0
apartment,Capital Federal,Colegiales,-34.578495000000004,-58.449866,107.55336630856377,200000.0
apartment,Capital Federal,Colegiales,-34.578495000000004,-58.449866,107.55336630856377,200000.0
apartment,Capital Federal,Colegiales,-34.578495000000004,-58.449866,107.55336630856377,200000.0
apartment,Córdoba,Córdoba,-31.413703,-64.173117,93.28608302273388,110000.0
house,Córdoba,Córdoba,-31.338809,-64.24765,186.58383121638997,75712.96
house,Córdoba,Córdoba,-31.387641,-64.156873,321.2486833116975,64496.22
PH,Bs.As. G.B.A. Zona Oeste,Merlo,-34.673453,-58.727932,197.19736459522127,110000.0
apartment,Córdoba,Córdoba,-31.426644,-64.195776,44.99681651684811,42000.0
house,Córdoba,Unquillo,-31.241894,-64.34481,447.8011949193359,500000.0
apartment,Córdoba,Córdoba,-31.416498,-64.167618,60.36158313235722,89733.88
apartment,Córdoba,Córdoba,-31.409866,-64.204166,75.72634974786632,60570.37
house,Córdoba,Córdoba,-31.331444,-64.293065,340.7183004821034,97999.0
house,Córdoba,Punilla,-30.922595,-64.535129,217.41072506953265,105000.0
apartment,Capital Federal,Almagro,-34.614358,-58.412161,60.36158313235722,149000.0
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.451855,-58.903567,98.77349967113,120000.0
apartment,Bs.As. G.B.A. Zona Norte,Belén de Escobar,-34.347086,-58.79945,43.899333187168885,58327.02
apartment,Bs.As. G.B.A. Zona Norte,Belén de Escobar,-34.347086,-58.79945,43.899333187168885,58327.02
house,Bs.As. G.B.A. Zona Norte,Escobar,-34.340601,-58.850434,324.4936195067651,240000.0
house,Bs.As. G.B.A. Zona Norte,Escobar,-34.377323,-58.75432900000001,306.64647043389306,185000.0
house,Bs.As. G.B.A. Zona Oeste,El Palomar,-34.614279,-58.583286,236.88034223993856,148000.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.648496,-58.623991,27.437083241980552,47500.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.648496,-58.623991,43.899333187168885,71600.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.648496,-58.623991,43.899333187168885,75300.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.648496,-58.623991,52.67919982460266,71800.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.648496,-58.623991,34.02198322005589,61000.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.648496,-58.623991,79.01879973690399,80000.0
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.648496,-58.623991,47.19178317620655,70900.0
apartment,Bs.As. G.B.A. Zona Norte,Beccar,-34.47168,-58.555627,132.79548289118588,179000.0
PH,Buenos Aires Interior,Chascomús,-35.56703800000001,-58.023316,24.64967057440266,80000.0
store,Bs.As. G.B.A. Zona Sur,Tristán Suárez,-34.900099,-58.57145500000001,20.0,80000.0
house,Bs.As. G.B.A. Zona Sur,Burzaco,-34.84085,-58.380071,442.93379062673444,230000.0
house,Bs.As. G.B.A. Zona Sur,Esteban Echeverría,-34.797365,-58.476725,194.69617170405908,95000.0
house,Bs.As. G.B.A. Zona Sur,San Vicente,-35.011506,-58.415513,129.79744780270605,58000.0
apartment,Capital Federal,San Cristobal,-34.629024183,-58.40329165479999,37.31443320909355,64500.0
apartment,Capital Federal,Palermo,-34.597845,-58.416291,40.60688319813122,89000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.457045,-58.757997,454.2910673094712,1150000.0
house,Bs.As. G.B.A. Zona Norte,Vicente López,-34.533103000000004,-58.51313199999999,402.3720881883888,325000.0
house,Bs.As. G.B.A. Zona Oeste,Morón,-34.665112,-58.622337,32.44936195067651,146000.0
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.658583,-58.690916,32.44936195067651,135000.0
house,Bs.As. G.B.A. Zona Oeste,San Antonio De Padua,-34.661152,-58.71209399999999,584.0885151121772,285000.0
house,Bs.As. G.B.A. Zona Oeste,Morón,-34.645915,-58.61395400000001,197.94110789912673,155000.0
PH,Bs.As. G.B.A. Zona Sur,Melchor Romero,-34.950742,-58.047594,131.87573757305424,115000.0
apartment,Bs.As. G.B.A. Zona Sur,La Plata,-34.905106,-57.960477,71.33641642914944,140000.0
house,Bs.As. G.B.A. Zona Norte,Benavidez,-34.404431,-58.731022,194.69617170405908,159000.0
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.438928999999995,-58.799257,61.45906646203644,85000.0
apartment,Capital Federal,Palermo,-34.585206,-58.445163,42.801849857489664,107000.0
PH,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.541636,-58.568943,99.83116582633077,84500.0
apartment,Capital Federal,Caballito,-34.614297,-58.42741700000001,138.282899539582,255000.0
apartment,Córdoba,Córdoba,-31.424827,-64.184779,79.01879973690399,150000.0
house,Córdoba,Córdoba,-31.449149,-64.212974,253.10502321527682,126188.27
house,Córdoba,Córdoba,-31.518383,-64.169136,486.7404292601477,255000.0
house,Córdoba,Córdoba,-31.518383,-64.1691363,470.51574828480943,320000.0
apartment,Bs.As. G.B.A. Zona Sur,La Plata,-34.896016,-57.949308,37.31443320909355,47000.0
house,Bs.As. G.B.A. Zona Norte,Bella Vista,-34.568988,-58.689694,454.2910673094712,320000.0
apartment,Bs.As. G.B.A. Zona Norte,San Miguel,-34.539119,-58.71491999999999,47.19178317620655,67000.0
apartment,Bs.As. G.B.A. Zona Norte,San Miguel,-34.539013,-58.714899,57.06913314331955,77000.0
apartment,Bs.As. G.B.A. Zona Norte,San Miguel,-34.539013,-58.714899,47.19178317620655,67000.0
apartment,Bs.As. G.B.A. Zona Norte,Muñiz,-34.550785999999995,-58.697934,49.386749835565,84500.0
house,Bs.As. G.B.A. Zona Sur,Almirante Brown,-34.799162,-58.397613,298.5341299462239,325000.0
apartment,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,-34.76358,-58.39280600000001,46.09429984652733,75000.0
house,Bs.As. G.B.A. Zona Sur,Almirante Brown,-34.806899,-58.381329,472.1382163823433,280000.0
apartment,Bs.As. G.B.A. Zona Sur,Sarandi,-34.682143,-58.340285,61.45906646203644,90000.0
PH,Bs.As. G.B.A. Zona Sur,Lanús,-34.704082,-58.402591,245.26422221530646,165000.0
